,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.0,0.0,0.83,0.0,0.0,0.85,0.0,0.05,0.0,0.0,0.0,0.29,0.0,1.46,0.69,0.0,0.0,fake
1,0.0,0.0,0.77,0.02,0.16,1.2,0.0,0.1,0.0,0.0,0.0,0.21,0.0,0.91,0.59,0.3,0.0,fake
2,0.0,0.0,0.69,0.02,0.31,1.28,0.0,0.23,0.0,0.02,0.04,0.14,0.0,0.42,0.57,0.47,0.0,fake
3,0.0,0.0,0.65,0.0,0.46,1.38,0.0,0.35,0.0,0.02,0.07,0.11,0.0,0.1,0.66,0.54,0.03,fake
4,0.0,0.0,0.62,0.0,0.51,1.32,0.0,0.39,0.0,0.07,0.1,0.15,0.0,0.0,0.67,0.53,0.05,fake
5,0.0,0.0,0.59,0.0,0.49,1.42,0.0,0.31,0.0,0.08,0.13,0.16,0.0,0.0,0.53,0.45,0.05,fake
6,0.0,0.0,0.53,0.0,0.43,1.38,0.0,0.25,0.01,0.08,0.15,0.17,0.0,0.0,0.37,0.37,0.02,fake
7,0.0,0.0,0.43,0.0,0.36,1.32,0.0,0.15,0.01,0.04,0.12,0.2,0.0,0.0,0.15,0.32,0.0,fake
8,0.0,0.0,0.39,0.0,0.33,1.22,0.0,0.11,0.01,0.0,0.06,0.24,0.0,0.0,0.09,0.39,0.0,fake
9,0.0,0.0,0.42,0.0,0.32,1.24,0.0,0.11,0.0,0.03,0.04,0.33,0.0,0.01,0.01,0.46,0.0,fake
10,0.0,0.0,0.49,0.0,0.31,1.3,0.0,0.15,0.0,0.03,0.05,0.37,0.0,0.01,0.02,0.4,0.0,fake
11,0.0,0.0,0.53,0.0,0.31,1.25,0.0,0.2,0.0,0.03,0.13,0.38,0.0,0.03,0.05,0.36,0.0,fake
12,0.0,0.0,0.5,0.01,0.24,0.99,0.0,0.24,0.0,0.0,0.18,0.37,0.0,0.03,0.05,0.26,0.0,fake
13,0.0,0.0,0.49,0.01,0.19,0.77,0.0,0.29,0.0,0.0,0.23,0.33,0.0,0.04,0.03,0.25,0.0,fake
14,0.0,0.0,0.45,0.01,0.12,0.64,0.0,0.25,0.0,0.0,0.23,0.35,0.0,0.06,0.02,0.18,0.0,fake
15,0.0,0.0,0.42,0.0,0.12,0.58,0.0,0.23,0.0,0.0,0.25,0.35,0.0,0.07,0.02,0.18,0.0,fake
16,0.0,0.0,0.31,0.0,0.1,0.54,0.0,0.24,0.0,0.0,0.26,0.37,0.0,0.07,0.03,0.13,0.0,fake
17,0.0,0.0,0.34,0.0,0.13,0.54,0.0,0.27,0.0,0.0,0.21,0.32,0.0,0.05,0.0,0.11,0.0,fake
18,0.0,0.0,0.36,0.0,0.14,0.52,0.0,0.22,0.0,0.0,0.17,0.25,0.0,0.04,0.03,0.04,0.0,fake
19,0.0,0.0,0.42,0.0,0.17,0.49,0.0,0.14,0.0,0.0,0.19,0.19,0.0,0.02,0.06,0.01,0.0,fake
20,0.0,0.0,0.44,0.0,0.19,0.49,0.0,0.11,0.0,0.0,0.26,0.17,0.0,0.02,0.1,0.0,0.0,fake
21,0.0,0.0,0.48,0.0,0.16,0.51,0.0,0.07,0.0,0.0,0.29,0.14,0.0,0.0,0.07,0.0,0.0,fake
