,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0.0,0.0,0.49,0.36,0.13,0.0,0.25,0.0,0.11,0.0,0.0,0.58,0.0,0.0,0.37,0.0,0.0,real
1,0.0,0.0,0.57,0.61,0.06,0.45,0.16,0.0,0.1,0.0,0.0,0.19,0.51,0.0,0.52,0.0,0.0,real
2,0.0,0.0,0.53,0.49,0.02,0.88,0.1,0.18,0.09,0.0,0.06,0.0,0.76,0.0,0.46,0.11,0.0,real
3,0.0,0.0,0.52,0.22,0.02,1.25,0.04,0.35,0.12,0.0,0.1,0.0,0.86,0.0,0.4,0.26,0.0,real
4,0.0,0.0,0.29,0.26,0.0,1.4,0.08,0.45,0.09,0.0,0.15,0.0,0.94,0.0,0.17,0.41,0.12,real
5,0.0,0.18,0.17,0.55,0.0,1.17,0.14,0.35,0.18,0.0,0.19,0.0,0.9,0.0,0.2,0.32,0.12,real
6,0.0,0.19,0.0,0.63,0.06,1.3,0.12,0.38,0.3,0.0,0.16,0.04,0.82,0.0,0.31,0.17,0.12,real
7,0.0,0.19,0.02,0.38,0.08,1.28,0.11,0.52,0.37,0.0,0.11,0.04,0.64,0.0,0.57,0.1,0.0,real
8,0.0,0.29,0.02,0.45,0.08,1.72,0.04,0.59,0.37,0.0,0.01,0.04,0.53,0.0,0.71,0.18,0.0,real
9,0.04,0.32,0.02,0.76,0.03,1.6,0.06,0.54,0.31,0.0,0.01,0.02,0.36,0.0,0.74,0.39,0.0,real
10,0.08,0.36,0.0,1.39,0.0,1.49,0.04,0.5,0.29,0.0,0.07,0.02,0.25,0.0,0.76,0.61,0.0,real
11,0.29,0.09,0.08,1.33,0.0,1.29,0.03,0.45,0.2,0.0,0.07,0.1,0.32,0.0,0.59,0.69,0.0,real
12,0.44,0.04,0.19,1.15,0.0,1.14,0.0,0.42,0.13,0.0,0.07,0.23,0.39,0.02,0.4,0.63,0.0,real
13,0.62,0.0,0.37,0.78,0.02,1.15,0.0,0.33,0.2,0.0,0.0,0.3,0.37,0.1,0.24,0.45,0.0,real
14,0.63,0.0,0.32,0.81,0.09,1.15,0.0,0.31,0.27,0.0,0.0,0.34,0.3,0.17,0.22,0.46,0.0,real
15,0.54,0.0,0.24,0.8,0.09,1.06,0.0,0.27,0.31,0.0,0.0,0.31,0.31,0.17,0.29,0.39,0.0,real
16,0.48,0.0,0.15,0.62,0.08,0.67,0.0,0.29,0.23,0.0,0.0,0.4,0.3,0.15,0.5,0.35,0.0,real
17,0.3,0.0,0.13,0.31,0.01,0.23,0.02,0.33,0.15,0.0,0.0,0.41,0.3,0.11,0.65,0.38,0.0,real
18,0.2,0.0,0.09,0.1,0.01,0.0,0.02,0.31,0.08,0.0,0.02,0.41,0.31,0.14,0.76,0.51,0.0,real
19,0.04,0.0,0.05,0.0,0.01,0.0,0.08,0.2,0.0,0.0,0.02,0.38,0.28,0.07,0.71,0.85,0.0,real
20,0.0,0.0,0.05,0.0,0.01,0.0,0.07,0.14,0.0,0.0,0.02,0.33,0.54,0.04,0.86,0.91,0.1,real
21,0.0,0.0,0.11,0.0,0.01,0.0,0.07,0.17,0.0,0.0,0.01,0.25,0.65,0.0,1.07,0.98,0.31,real
22,0.14,0.0,0.27,0.07,0.0,0.09,0.01,0.27,0.0,0.0,0.01,0.11,0.91,0.0,1.13,0.85,0.57,real
23,0.22,0.0,0.43,0.07,0.0,0.35,0.0,0.29,0.0,0.0,0.01,0.1,0.68,0.0,1.06,0.75,0.63,real
24,0.22,0.0,0.53,0.07,0.0,0.57,0.0,0.23,0.0,0.0,0.08,0.07,0.44,0.0,1.02,0.5,0.71,real
25,0.08,0.0,0.55,0.0,0.0,0.66,0.0,0.18,0.0,0.0,0.13,0.07,0.21,0.0,1.13,0.33,0.71,real
26,0.05,0.0,0.77,0.0,0.0,0.46,0.0,0.12,0.0,0.0,0.15,0.03,0.16,0.0,1.31,0.17,0.89,real
27,0.09,0.0,0.87,0.0,0.0,0.24,0.0,0.07,0.0,0.0,0.13,0.03,0.27,0.0,1.46,0.12,1.08,real
28,0.15,0.11,0.87,0.0,0.0,0.12,0.0,0.02,0.0,0.0,0.14,0.03,0.25,0.0,1.52,0.0,1.3,real
29,0.28,0.22,0.94,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.21,0.17,0.22,0.0,1.5,0.0,1.44,real
30,0.37,0.5,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.16,0.24,0.35,0.0,1.64,0.0,1.33,real
31,0.44,0.63,1.17,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.1,0.34,0.61,0.0,1.82,0.0,1.14,real
32,0.57,0.95,1.08,0.0,0.0,0.16,0.0,0.04,0.0,0.0,0.11,0.16,0.6,0.0,2.0,0.0,0.88,real
33,0.57,0.95,1.03,0.0,0.0,0.31,0.04,0.03,0.0,0.0,0.2,0.18,0.39,0.0,1.85,0.01,0.69,real
34,0.54,0.83,0.87,0.0,0.0,0.34,0.04,0.07,0.0,0.0,0.47,0.22,0.23,0.0,1.69,0.02,0.58,real
35,0.41,0.59,0.84,0.0,0.0,0.38,0.04,0.12,0.0,0.0,0.36,0.22,0.19,0.0,1.54,0.16,0.36,real
36,0.33,0.31,0.94,0.0,0.0,0.4,0.0,0.25,0.0,0.0,0.29,0.36,0.13,0.0,1.6,0.44,0.26,real
37,0.28,0.19,0.97,0.0,0.0,0.57,0.0,0.32,0.0,0.05,0.2,0.47,0.0,0.0,1.62,0.7,0.12,real
38,0.11,0.0,0.8,0.0,0.0,0.64,0.04,0.25,0.08,0.05,0.2,0.74,0.0,0.05,1.78,0.7,0.12,real
