,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.36,0.0,0.0,0.0,0.43,1.07,0.14,0.0,0.0,0.62,0.0,1.78,0.89,0.88,0.0,0.3,1.34,0
1,1,0.12,0.0,0.0,0.0,0.28,0.86,0.05,0.0,0.0,0.45,0.16,1.33,0.55,0.78,0.0,0.27,0.85,0
2,2,0.0,0.0,0.0,0.0,0.22,0.6,0.0,0.0,0.02,0.28,0.21,0.89,0.26,0.6,0.17,0.33,0.5,0
3,3,0.0,0.0,0.0,0.0,0.23,0.34,0.02,0.0,0.04,0.16,0.25,0.54,0.11,0.37,0.38,0.41,0.3,0
4,4,0.0,0.0,0.0,0.0,0.28,0.37,0.06,0.0,0.05,0.04,0.17,0.42,0.1,0.21,0.6,0.49,0.28,0
5,5,0.0,0.0,0.0,0.0,0.3,0.37,0.1,0.0,0.05,0.0,0.15,0.33,0.1,0.11,0.62,0.5,0.19,0
6,6,0.0,0.0,0.0,0.0,0.27,0.3,0.13,0.0,0.04,0.08,0.16,0.28,0.06,0.08,0.59,0.54,0.09,0
7,7,0.0,0.0,0.0,0.0,0.25,0.29,0.15,0.0,0.04,0.17,0.11,0.16,0.04,0.08,0.47,0.64,0.01,0
8,8,0.0,0.0,0.0,0.0,0.23,0.24,0.15,0.0,0.02,0.19,0.07,0.18,0.04,0.09,0.46,0.69,0.0,0
9,9,0.0,0.0,0.0,0.0,0.25,0.26,0.15,0.0,0.01,0.13,0.01,0.16,0.04,0.11,0.48,0.74,0.02,0
10,10,0.0,0.0,0.0,0.0,0.24,0.2,0.11,0.0,0.0,0.04,0.0,0.22,0.0,0.07,0.5,0.74,0.02,0
11,11,0.0,0.0,0.0,0.0,0.22,0.18,0.09,0.0,0.01,0.04,0.02,0.24,0.0,0.03,0.4,0.78,0.02,0
12,12,0.0,0.0,0.0,0.0,0.18,0.08,0.1,0.0,0.01,0.06,0.05,0.27,0.0,0.01,0.27,0.72,0.0,0
13,13,0.0,0.0,0.0,0.0,0.18,0.06,0.07,0.0,0.01,0.06,0.05,0.25,0.0,0.01,0.37,0.64,0.0,0
14,14,0.0,0.0,0.0,0.0,0.2,0.03,0.05,0.0,0.0,0.03,0.03,0.22,0.0,0.01,0.46,0.63,0.0,0
15,15,0.0,0.0,0.0,0.0,0.22,0.03,0.01,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.59,0.69,0.0,0
16,16,0.0,0.0,0.0,0.0,0.21,0.0,0.01,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.56,0.81,0.0,0
17,17,0.0,0.0,0.0,0.0,0.19,0.07,0.0,0.0,0.03,0.0,0.0,0.23,0.0,0.09,0.54,0.55,0.0,0
18,18,0.0,0.0,0.0,0.0,0.17,0.11,0.0,0.0,0.07,0.02,0.0,0.25,0.0,0.16,0.52,0.31,0.0,0
19,19,0.0,0.0,0.0,0.0,0.16,0.17,0.0,0.0,0.09,0.02,0.0,0.35,0.0,0.27,0.45,0.01,0.0,0
20,20,0.0,0.0,0.0,0.0,0.12,0.11,0.0,0.0,0.07,0.02,0.0,0.38,0.0,0.31,0.41,0.08,0.0,0
21,21,0.0,0.0,0.0,0.0,0.11,0.06,0.0,0.0,0.05,0.0,0.0,0.41,0.0,0.35,0.3,0.07,0.0,0
22,22,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.04,0.03,0.0,0.29,0.0,0.32,0.27,0.08,0.0,0
23,23,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.03,0.02,0.24,0.0,0.26,0.26,0.02,0.0,0
24,24,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.03,0.04,0.02,0.19,0.0,0.21,0.34,0.04,0.0,0
25,25,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.02,0.02,0.02,0.23,0.0,0.19,0.39,0.06,0.0,0
26,26,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.01,0.02,0.0,0.19,0.0,0.17,0.44,0.04,0.0,0
27,27,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.0,0.16,0.0,0.16,0.42,0.02,0.0,0
28,28,0.0,0.0,0.0,0.0,0.11,0.04,0.0,0.02,0.05,0.0,0.03,0.07,0.0,0.1,0.51,0.0,0.0,0
29,29,0.0,0.0,0.0,0.0,0.12,0.06,0.0,0.02,0.05,0.0,0.09,0.04,0.0,0.07,0.58,0.0,0.0,0
30,30,0.0,0.0,0.0,0.0,0.16,0.06,0.0,0.02,0.05,0.0,0.09,0.01,0.0,0.01,0.74,0.05,0.0,0
31,31,0.0,0.0,0.0,0.0,0.16,0.02,0.04,0.0,0.02,0.0,0.05,0.04,0.0,0.01,0.8,0.17,0.0,0
32,32,0.0,0.0,0.0,0.0,0.19,0.0,0.09,0.0,0.01,0.0,0.02,0.06,0.0,0.0,0.88,0.35,0.0,0
33,33,0.0,0.0,0.0,0.0,0.19,0.0,0.12,0.0,0.0,0.0,0.07,0.09,0.0,0.0,0.81,0.6,0.0,0
34,34,0.0,0.0,0.0,0.0,0.18,0.0,0.1,0.0,0.0,0.0,0.14,0.1,0.0,0.0,0.74,0.77,0.0,0
35,35,0.0,0.0,0.0,0.0,0.16,0.09,0.12,0.0,0.0,0.0,0.12,0.08,0.0,0.0,0.66,0.86,0.0,0
36,36,0.0,0.0,0.0,0.0,0.1,0.13,0.09,0.0,0.0,0.0,0.07,0.05,0.0,0.02,0.57,0.73,0.0,0
37,37,0.0,0.0,0.0,0.0,0.06,0.21,0.06,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.45,0.62,0.0,0
38,38,0.0,0.0,0.0,0.0,0.02,0.13,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.05,0.33,0.44,0.01,0
39,39,0.0,0.0,0.0,0.0,0.01,0.09,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.29,0.37,0.01,0
40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.05,0.18,0.23,0.01,0
41,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.04,0.09,0.19,0.0,0
42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.04,0.05,0.09,0.01,0
43,43,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.05,0.05,0.05,0.01,0
44,44,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.11,0.05,0.03,0.01,0
45,45,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.42,0.0,0.2,0.0,0.03,0.0,0
46,46,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.47,0.0,0.25,0.0,0.03,0.0,0
47,47,0.12,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.05,0.0,0.0,0.39,0.01,0.23,0.0,0.0,0.02,0
48,48,0.63,0.2,0.0,0.04,0.01,0.0,0.0,0.0,0.1,0.0,0.0,0.31,0.01,0.15,0.1,0.04,0.02,0
49,49,1.35,0.55,0.0,0.17,0.01,0.0,0.0,0.0,0.14,0.0,0.0,0.17,0.01,0.04,0.17,0.15,0.02,0
50,50,1.91,0.74,0.0,0.26,0.01,0.0,0.0,0.0,0.17,0.0,0.0,0.04,0.0,0.0,0.47,0.39,0.0,0
51,51,2.1,0.74,0.0,0.3,0.02,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.68,0.61,0.0,0
52,52,2.15,0.73,0.0,0.31,0.01,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.91,0.84,0.0,0
53,53,2.0,0.75,0.0,0.31,0.05,0.0,0.0,0.0,0.08,0.0,0.05,0.0,0.0,0.0,0.77,0.92,0.0,0
54,54,1.84,0.81,0.0,0.3,0.07,0.0,0.0,0.0,0.02,0.0,0.08,0.0,0.0,0.0,0.65,0.98,0.0,0
55,55,1.4,0.52,0.0,0.16,0.1,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.02,0.0,0.63,0.78,0.0,0
56,56,0.91,0.31,0.0,0.06,0.1,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.02,0.0,0.75,0.47,0.0,0
57,57,0.36,0.04,0.0,0.0,0.13,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.02,0.01,0.74,0.14,0.0,0
58,58,0.04,0.0,0.0,0.0,0.14,0.02,0.0,0.0,0.03,0.0,0.01,0.05,0.0,0.03,0.58,0.0,0.0,0
59,59,0.0,0.0,0.0,0.0,0.16,0.02,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.03,0.5,0.0,0.0,0
60,60,0.0,0.0,0.0,0.0,0.13,0.04,0.0,0.0,0.03,0.0,0.16,0.07,0.0,0.02,0.41,0.0,0.0,0
61,61,0.0,0.0,0.0,0.0,0.13,0.02,0.0,0.0,0.02,0.0,0.21,0.12,0.0,0.0,0.46,0.02,0.0,0
