,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.59,0.93,0.74,0.0,0.58,0.0,0.0,0.92,0.82,0.0,1
1,1,0.0,0.0,0.0,0.0,0.21,0.0,0.0,1.35,0.87,0.77,0.0,0.94,0.05,0.37,0.31,0.39,0.0,1
2,2,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.21,0.87,0.83,0.0,1.17,0.05,0.55,0.0,0.13,0.0,1
3,3,0.0,0.0,0.0,0.0,0.27,0.0,0.0,1.23,0.96,0.76,0.0,1.22,0.05,0.47,0.18,0.6,0.0,1
4,4,0.0,0.0,0.0,0.0,0.22,0.0,0.0,1.31,0.99,0.64,0.0,0.97,0.02,0.3,0.55,0.76,0.0,1
5,5,0.0,0.0,0.0,0.0,0.11,0.0,0.0,1.51,0.98,0.42,0.0,0.63,0.02,0.11,1.09,1.18,0.0,1
6,6,0.0,0.0,0.0,0.0,0.06,0.07,0.03,1.51,0.92,0.33,0.0,0.38,0.0,0.0,1.3,1.25,0.0,1
7,7,0.0,0.0,0.0,0.0,0.01,0.11,0.05,1.34,0.76,0.33,0.0,0.31,0.0,0.0,1.24,1.47,0.0,1
8,8,0.0,0.0,0.0,0.0,0.01,0.21,0.14,1.09,0.61,0.38,0.0,0.4,0.0,0.0,1.1,1.48,0.0,1
9,9,0.07,0.0,0.0,0.0,0.0,0.14,0.25,1.05,0.54,0.3,0.0,0.44,0.0,0.0,1.09,1.41,0.0,1
10,10,0.17,0.0,0.0,0.0,0.0,0.12,0.39,1.11,0.52,0.19,0.0,0.44,0.0,0.0,1.21,1.24,0.0,1
11,11,0.17,0.0,0.0,0.0,0.0,0.03,0.41,1.17,0.45,0.05,0.0,0.36,0.0,0.0,1.22,1.05,0.0,1
12,12,0.14,0.04,0.0,0.0,0.03,0.18,0.35,1.23,0.39,0.05,0.0,0.37,0.0,0.0,1.26,0.8,0.0,1
13,13,0.07,0.07,0.0,0.0,0.05,0.32,0.23,1.34,0.42,0.01,0.0,0.32,0.0,0.0,1.29,0.66,0.0,1
14,14,0.16,0.17,0.0,0.0,0.07,0.32,0.31,1.31,0.47,0.01,0.0,0.32,0.0,0.0,1.39,0.82,0.0,1
15,15,0.13,0.12,0.04,0.0,0.03,0.17,0.36,1.24,0.44,0.01,0.0,0.29,0.0,0.0,1.56,1.04,0.0,1
16,16,0.13,0.09,0.06,0.0,0.01,0.0,0.44,1.21,0.39,0.0,0.01,0.3,0.0,0.0,1.62,1.17,0.0,1
17,17,0.04,0.0,0.07,0.0,0.0,0.0,0.39,1.29,0.35,0.0,0.01,0.28,0.0,0.0,1.64,1.15,0.0,1
18,18,0.03,0.0,0.04,0.0,0.0,0.0,0.39,1.33,0.34,0.0,0.01,0.24,0.0,0.0,1.59,1.08,0.0,1
19,19,0.08,0.14,0.1,0.0,0.02,0.02,0.26,1.24,0.33,0.0,0.0,0.52,0.0,0.0,1.42,1.1,0.0,1
20,20,0.26,0.19,0.15,0.0,0.08,0.12,0.3,1.11,0.37,0.0,0.0,0.76,0.0,0.0,1.17,0.81,0.0,1
21,21,0.58,0.28,0.18,0.0,0.19,0.29,0.45,1.04,0.4,0.06,0.0,0.88,0.0,0.0,0.85,0.5,0.0,1
